"signal-to-noise ratio","S/N"
"신호대잡음비","S/N"
"신호대잡음비","S/N"
"알엠에스","RMS"
"알엠에스스","RMS"
"RMS","RMS"
"덱스","dex"
"dex","dex"
"피어슨 상관계수","Pearson correlation coefficient"
"피어슨","Pearson"
"복원율","recovery rate"
"잔차","residual"
"연속체","continuum"
"고주파 노이즈","high-frequency noise"
"흡수선","absorption line"
"스펙트럼","spectrum"
"은하 스펙트럼","galaxy spectrum"
"합성 스펙트럼","synthetic spectrum"
"스펙트럼 피팅","spectrum fitting"
"전체 스펙트럼 피팅","full spectrum fitting"
"항성 종족","stellar population"
"질량 가중 나이","mass-weighted age"
"질량 가중 금속성","mass-weighted metallicity"
"금속성","metallicity"
"물리량","physical quantity"
"물리적 신호","physical signal"
"공간 분포","spatial distribution"
"공간적 특성","spatial characteristics"
"공간 정보","spatial information"
"신호","signal"
"노이즈","noise"
"노이즈 감소율","noise reduction rate"
"디노이징","denoising"
"데이터 복원","data reconstruction"
"복원 성능","reconstruction performance"
"재구성","reconstruction"
"정밀도","precision"
"정답 스펙트럼","ground truth spectrum"
"정답","ground truth"
"원본 데이터","original data"
"노이즈 데이터","noisy data"
"입력 데이터","input data"
"입력값","input"
"추정값","recovered"
"추정치","recovered"
"모델 체크포인트","model checkpoint"
"에포크","epoch"
"손실 함수","loss function"
"복합 손실 함수","composite loss function"
"평균제곱오차","mean squared error"
"MSE","MSE"
"조기 종료","early stopping"
"과적합","overfitting"
"전역적 상관관계","global correlation"
"바틀넥","bottleneck"
"유넷","U-net"
"U-net","U-net"
"트랜스포머","Transformer"
"CNN","CNN"
"씨엔엔","CNN"
"Enhanced U-net Transformer","Enhanced U-net Transformer"
"EUT","EUT"
"이유티","EUT"
"pPXF","pPXF"
"피피엑스에프","pPXF"
"IFU","IFU"
"스팍셀","spaxel"
"Spaxel","spaxel"
"푸리에 변환","Fourier Transform"
"Fourier Transform","Fourier Transform"
"Mg b","Mg b"
"앰쥐비","Mg b"
"Na D","Na D"
"엔에이 디","Na D"
"Fe I 4383","Fe I 4383"
